Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]
0;0;28.402100;20;20;
1;13.5976;27.076384;19.1411;19.307;
2;54.3902;25.834707;18.3367;18.6469;
3;122.378;24.618660;17.5489;17.9899;
4;217.561;23.432182;16.7803;17.3385;
5;339.939;22.276920;16.0319;16.6943;
6;489.512;21.159983;15.3083;16.0618;
7;666.28;20.083542;14.6109;15.4431;
8;870.244;19.058310;13.9467;14.8453;
9;1101.4;18.089367;13.319;14.2725;
10;1359.76;17.170465;12.7237;13.7221;
11;1645.3;16.291851;12.1545;13.1892;
12;1958.05;15.449948;11.6091;12.6724;
13;2297.99;14.642302;11.0858;12.1707;
14;2665.12;13.874276;10.5883;11.6883;
15;3059.45;13.145955;10.1164;11.226;
16;3480.98;12.456514;9.66978;10.7838;
17;3929.69;11.802361;9.24599;10.3601;
18;4405.61;11.182963;8.84472;9.95525;
