Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.402100;27;27;27;27;0.159224;
1;17.7814;27.076384;26.1411;26.3676;26.1411;26.1411;0.159224;
2;71.1257;25.834707;25.3367;25.7653;25.3367;25.3367;0.159224;
3;160.033;25.834707;24.4716;25.1064;24.9367;24.9367;0.156995;
4;284.503;24.618660;23.6838;24.4961;24.1339;24.1339;0.156995;
5;444.536;24.618660;22.8559;23.844;23.7218;23.7218;0.157905;
6;640.131;23.432182;22.0873;23.2284;22.924;22.924;0.157905;
7;871.29;23.432182;21.259;22.5538;22.481;22.481;0.15882;
8;1138.01;22.276920;20.5106;21.934;21.6895;21.6895;0.15882;
9;1440.3;22.276920;19.6816;21.2357;21.2138;21.2138;0.159924;
10;1778.14;21.159983;18.958;20.6159;20.4339;20.4339;0.159924;
11;2151.55;21.159983;18.1258;19.891;19.9222;19.9222;0.160991;
12;2560.52;20.083542;17.4284;19.2732;19.1557;19.1557;0.160991;
13;3005.06;20.083542;16.5936;18.5209;18.6062;18.6062;0.162087;
14;3485.16;19.058310;15.9294;17.9124;17.8614;17.8614;0.162087;
15;4000.82;19.058310;15.0911;17.1313;17.2715;17.2715;0.163141;
16;4552.04;18.089367;14.4634;16.5365;16.5531;16.5531;0.163141;
17;5138.83;18.089367;13.6224;15.7262;15.9209;15.9209;0.164153;
18;5761.18;17.170465;13.0271;15.143;15.2252;15.2252;0.164153;
