Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]
0;0;28.402100;22;22;
1;15.4106;27.076384;21.1411;21.3243;
2;61.6423;25.834707;20.3367;20.6807;
3;138.695;24.618660;19.5489;20.0401;
4;246.569;23.432182;18.7803;19.4051;
5;385.264;22.276920;18.0319;18.7769;
6;554.78;21.159983;17.3083;18.1603;
7;755.118;20.083542;16.6109;17.5571;
8;986.276;19.058310;15.9467;16.9742;
9;1248.26;18.089367;15.319;16.4157;
10;1541.06;17.170465;14.7237;15.8791;
11;1864.68;16.291851;14.1545;15.3595;
12;2219.12;15.449948;13.6091;14.8556;
13;2604.39;14.642302;13.0858;14.3665;
14;3020.47;13.874276;12.5883;13.8961;
15;3467.38;13.145955;12.1164;13.4453;
16;3945.1;12.456514;11.6698;13.0142;
17;4453.65;11.802361;11.246;12.6011;
18;4993.02;11.182963;10.8447;12.2064;
