Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.402100;22;22;22;22;0.159224;
1;15.4106;27.076384;21.1411;21.3243;21.1411;21.1411;0.159224;
2;61.6423;25.834707;20.3367;20.6807;20.3367;20.3367;0.159224;
3;138.695;25.834707;19.4716;19.9767;19.8417;19.8417;0.156995;
4;246.569;24.618660;18.6838;19.3246;19.0389;19.0389;0.156995;
5;385.264;24.618660;17.8559;18.6279;18.5324;18.5324;0.157905;
6;554.78;23.432182;17.0873;17.9701;17.7346;17.7346;0.157905;
7;755.118;23.432182;16.259;17.2493;17.1936;17.1936;0.15882;
8;986.276;22.276920;15.5106;16.587;16.4021;16.4021;0.15882;
9;1248.26;22.276920;14.6816;15.8409;15.8246;15.8246;0.159924;
10;1541.06;21.159983;13.958;15.1787;15.0446;15.0446;0.159924;
11;1864.68;21.159983;13.1258;14.404;14.4266;14.4266;0.160991;
12;2219.12;20.083542;12.4284;13.7439;13.6602;13.6602;0.160991;
13;2604.39;20.083542;11.5936;12.9402;12.9997;12.9997;0.162087;
14;3020.47;19.058310;10.9294;12.29;12.255;12.255;0.162087;
15;3467.38;19.058310;10.0911;11.4553;11.5491;11.5491;0.163141;
16;3945.1;18.089367;9.46339;10.8198;10.8307;10.8307;0.163141;
17;4453.65;18.089367;8.62241;9.95402;10.0773;10.0773;0.164153;
18;4993.02;17.170465;8.02711;9.33091;9.38154;9.38154;0.164153;
