Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;27.238155;20;20;20;20;0.153773;
1;13.5976;25.947329;19.1771;19.3362;19.1771;19.1771;0.153773;
2;54.3902;24.737906;18.4061;18.7043;18.4061;18.4061;0.153773;
3;122.378;24.737906;17.5771;18.0136;17.897;17.897;0.151689;
4;217.561;23.548912;16.8192;17.3717;17.1252;17.1252;0.151689;
5;339.939;23.548912;16.0269;16.6901;16.6074;16.6074;0.152802;
6;489.512;22.382446;15.2833;16.0399;15.8369;15.8369;0.152802;
7;666.28;22.382446;14.4886;15.3337;15.2847;15.2847;0.153787;
8;870.244;21.236950;13.7583;14.6743;14.5143;14.5143;0.153787;
9;1101.4;21.236950;12.9621;13.9434;13.9266;13.9266;0.15496;
10;1359.76;20.117214;12.2483;13.2775;13.1597;13.1597;0.15496;
11;1645.3;20.117214;11.4485;12.5191;12.5325;12.5325;0.156065;
12;1958.05;19.028137;10.7543;11.8499;11.7726;11.7726;0.156065;
13;2297.99;19.028137;9.95176;11.0634;11.1044;11.1044;0.157229;
14;2665.12;17.980244;9.28375;10.398;10.359;10.359;0.157229;
15;3059.45;17.980244;8.47725;9.58127;9.64622;9.64622;0.158368;
16;3480.98;16.975445;7.83671;8.92191;8.91735;8.91735;0.158368;
17;3929.69;16.975445;7.02712;8.07463;8.15815;8.15815;0.159517;
18;4405.61;16.018803;6.41728;7.42592;7.45016;7.45016;0.159517;
