Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;29.906729;22;22;22;22;0.152514;
1;10.0504;28.643417;21.164;21.3424;21.164;21.164;0.152514;
2;40.2015;27.455572;20.378;20.7139;20.378;20.378;0.152514;
3;90.4533;27.455572;19.5353;20.029;19.8968;19.8968;0.150872;
4;160.806;26.294201;18.7668;19.3938;19.114;19.114;0.150872;
5;251.259;26.294201;17.954;18.7111;18.6185;18.6185;0.151852;
6;361.813;25.158552;17.2025;18.0694;17.8392;17.8392;0.151852;
7;492.468;25.158552;16.389;17.3632;17.3104;17.3104;0.152953;
8;643.224;24.048809;15.6546;16.7153;16.5347;16.5347;0.152953;
9;814.08;24.048809;14.8398;15.9843;15.9704;15.9704;0.15423;
10;1005.04;22.974993;14.1292;15.3363;15.2057;15.2057;0.15423;
11;1216.09;22.974993;13.3107;14.5773;14.6021;14.6021;0.155501;
12;1447.25;21.941738;12.6269;13.9329;13.852;13.852;0.155501;
13;1698.51;21.941738;11.8049;13.145;13.207;13.207;0.156754;
14;1969.87;20.952032;11.15;12.507;12.4743;12.4743;0.156754;
15;2261.33;20.952032;10.3237;11.6885;11.7847;11.7847;0.157885;
16;2572.89;20.003588;9.69608;11.0565;11.0683;11.0683;0.157885;
17;2904.56;20.003588;8.86677;10.2073;10.3325;10.3325;0.159081;
18;3256.32;19.096861;8.26674;9.58277;9.63327;9.63327;0.159081;
