Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]
0;0;28.313801;22;22;
1;10.0504;27.064049;21.1914;21.3641;
2;40.2015;25.890499;20.432;20.7575;
3;90.4533;24.736673;19.6854;20.1519;
4;160.806;23.607601;18.9549;19.5502;
5;251.259;22.504740;18.2413;18.9537;
6;361.813;21.431871;17.5471;18.3649;
7;492.468;20.391727;16.8741;17.7858;
8;643.224;19.390982;16.2265;17.2208;
9;814.08;18.428551;15.6038;16.6701;
10;1005.04;17.507816;15.008;16.1363;
11;1216.09;16.627178;14.4382;15.6193;
12;1447.25;15.790833;13.8971;15.1224;
13;1698.51;14.994991;13.3821;14.6442;
14;1969.87;14.239385;12.8932;14.185;
15;2261.33;13.520500;12.4281;13.7436;
16;2572.89;12.835879;11.9851;13.319;
17;2904.56;12.181901;11.5619;12.9094;
18;3256.32;11.560052;11.1596;12.5164;
