Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;29.598108;20;20;20;20;0.150804;
1;13.5976;28.336254;19.1686;19.3293;19.1686;19.1686;0.150804;
2;54.3902;27.148464;18.3861;18.6877;18.3861;18.3861;0.150804;
3;122.378;27.148464;17.5486;17.9896;17.8713;17.8713;0.14884;
4;217.561;25.983509;16.7811;17.3392;17.0896;17.0896;0.14884;
5;339.939;25.983509;15.9807;16.6499;16.5656;16.5656;0.149977;
6;489.512;24.842533;15.229;15.992;15.7864;15.7864;0.149977;
7;666.28;24.842533;14.4258;15.2774;15.2272;15.2272;0.15094;
8;870.244;23.728619;13.6919;14.6138;14.4525;14.4525;0.15094;
9;1101.4;23.728619;12.8868;13.8736;13.8565;13.8565;0.151907;
10;1359.76;22.653196;12.1782;13.2116;13.0946;13.0946;0.151907;
11;1645.3;22.653196;11.3704;12.4443;12.4594;12.4594;0.152855;
12;1958.05;21.619682;10.6895;11.7869;11.7132;11.7132;0.152855;
13;2297.99;21.619682;9.87936;10.9918;11.0367;11.0367;0.153904;
14;2665.12;20.628216;9.22614;10.3402;10.307;10.307;0.153904;
15;3059.45;20.628216;8.41243;9.51499;9.58581;9.58581;0.154885;
16;3480.98;19.681433;7.78865;8.87204;8.87502;8.87502;0.154885;
17;3929.69;19.681433;6.97223;8.01661;8.10732;8.10732;0.155991;
18;4405.61;18.780003;6.37832;7.38417;7.41673;7.41673;0.155991;
